Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume
PANW,2012-07-23,8.7667,9,8.5167,8.585,-0.27,-3.05%,4729800
PANW,2012-07-24,8.6667,9.3333,8.5867,9.25,0.665,+7.75%,4300200
PANW,2012-07-25,9.4167,9.8333,9.2167,9.825,0.575,+6.22%,3597600
PANW,2012-07-26,9.9633,10.3083,9.68,9.98,0.155,+1.58%,2566800
PANW,2012-07-27,10.1467,10.1467,9.5,9.5,-0.48,-4.81%,919800
PANW,2012-07-30,9.4767,9.4767,8.9867,9.1667,-0.3333,-3.51%,1657800
PANW,2012-07-31,9.1667,9.5233,8.7017,9.5233,0.3566,+3.89%,1712400
PANW,2012-08-01,9.7867,9.7867,9.19,9.3633,-0.16,-1.68%,664800
PANW,2012-08-02,9.28,10,8.8783,9.1833,-0.18,-1.92%,995400
PANW,2012-08-03,9.4417,9.4833,9.0417,9.1317,-0.0516,-0.56%,1744800
PANW,2012-08-06,9.2833,9.32,8.9467,9.13,-0.0017,-0.02%,937200
PANW,2012-08-07,9.1667,9.5733,9.0867,9.4667,0.3367,+3.69%,2194200
PANW,2012-08-08,9.3667,10.1667,9.3117,10.155,0.6883,+7.27%,3023400
PANW,2012-08-09,10.1667,10.41,9.9767,10.2217,0.0667,+0.66%,1758600
PANW,2012-08-10,10.1667,10.6617,10.0817,10.22,-0.0017,-0.02%,1710000
PANW,2012-08-13,10.1833,10.5133,10,10.4533,0.2333,+2.28%,1331400
PANW,2012-08-14,10.6883,10.7267,9.8883,9.9667,-0.4866,-4.65%,2841600
PANW,2012-08-15,9.9333,10.4833,9.6167,10.455,0.4883,+4.90%,1522200
PANW,2012-08-16,10.5833,11.1517,10.3117,11.0833,0.6283,+6.01%,2230800
PANW,2012-08-17,11.1833,11.4167,10.8067,11.215,0.1317,+1.19%,2307000
PANW,2012-08-20,11.13,11.1917,10.8283,10.9117,-0.3033,-2.70%,1619400
PANW,2012-08-21,10.9133,11.0717,10.5467,10.72,-0.1917,-1.76%,1485000
PANW,2012-08-22,10.8433,10.8617,10.52,10.5417,-0.1783,-1.66%,747600
PANW,2012-08-23,10.5333,10.8133,10.4167,10.69,0.1483,+1.41%,1291200
PANW,2012-08-24,10.575,10.9617,10.5417,10.795,0.105,+0.98%,1216800
PANW,2012-08-27,10.8417,10.9733,10.4367,10.615,-0.18,-1.67%,1061400
PANW,2012-08-28,10.6167,10.735,10.485,10.65,0.035,+0.33%,624600
PANW,2012-08-29,10.7033,10.85,10.5167,10.7883,0.1383,+1.30%,971400
PANW,2012-08-30,10.785,11.1117,10.545,10.5717,-0.2166,-2.01%,1378800
PANW,2012-08-31,10.7467,10.7633,10.5167,10.73,0.1583,+1.50%,553200
PANW,2012-09-04,10.8833,11.7133,10.65,11.7017,0.9717,+9.06%,4606800
PANW,2012-09-05,12.1017,12.1017,11.52,11.6667,-0.035,-0.30%,2837400
PANW,2012-09-06,11.785,12,11.73,11.9017,0.235,+2.01%,1348200
PANW,2012-09-07,12.0267,12.0367,11.56,11.79,-0.1117,-0.94%,3540600
PANW,2012-09-10,11.9183,12.1,11.855,11.9583,0.1683,+1.43%,8308800
PANW,2012-09-11,11.125,11.6233,10.7217,11.1,-0.8583,-7.18%,18154800
PANW,2012-09-12,11.28,11.375,10.7917,10.81,-0.29,-2.61%,4133999
PANW,2012-09-13,10.7917,11.3717,10.7917,11.33,0.52,+4.81%,4606200
PANW,2012-09-14,11.4317,11.495,11.1467,11.165,-0.165,-1.46%,2547600
PANW,2012-09-17,11.12,11.33,11.0967,11.3183,0.1533,+1.37%,889800
PANW,2012-09-18,11.1683,11.7217,11.1683,11.53,0.2117,+1.87%,2594400
PANW,2012-09-19,11.4933,11.4967,11.2517,11.3333,-0.1967,-1.71%,2348400
PANW,2012-09-20,11.115,11.235,10.7733,10.8417,-0.4916,-4.34%,1551600
PANW,2012-09-21,10.9083,10.9167,10.3733,10.67,-0.1717,-1.58%,3151800
PANW,2012-09-24,10.6633,10.8083,10.4017,10.7767,0.1067,+1.00%,1827600
PANW,2012-09-25,10.9,11.0917,10.69,10.695,-0.0817,-0.76%,2271000
PANW,2012-09-26,10.6617,10.6617,10.425,10.5417,-0.1533,-1.43%,2355600
PANW,2012-09-27,10.6667,10.8717,10.5617,10.845,0.3033,+2.88%,2256000
PANW,2012-09-28,10.8333,10.885,10.2117,10.2617,-0.5833,-5.38%,6388800
PANW,2012-10-01,10.2683,10.5317,10.04,10.1,-0.1617,-1.58%,2384400
PANW,2012-10-02,10.275,10.4,9.9967,10.3333,0.2333,+2.31%,2213400
