Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume
KRAQ,2026-03-23,9.88,9.99,9.88,9.9,-0.02,-0.20%,65400
KRAQ,2026-03-24,9.87,9.9,9.87,9.87,-0.03,-0.30%,2200
KRAQ,2026-03-25,9.9,9.92,9.87,9.87,0,0.00%,152600
KRAQ,2026-03-26,9.87,9.88,9.8572,9.86,-0.01,-0.10%,237300
KRAQ,2026-03-27,9.86,9.87,9.78,9.87,0.01,+0.10%,169900
KRAQ,2026-03-30,9.86,9.86,9.86,9.86,-0.01,-0.10%,100
KRAQ,2026-03-31,9.9,9.9,9.86,9.86,0,0.00%,600
KRAQ,2026-04-01,9.8501,9.851,9.8501,9.851,-0.009,-0.09%,1000
KRAQ,2026-04-02,9.9,9.9,9.895,9.9,0.049,+0.50%,3200
KRAQ,2026-04-06,9.89,9.91,9.87,9.87,-0.03,-0.30%,14300
KRAQ,2026-04-07,9.87,9.87,9.86,9.86,-0.01,-0.10%,1300
KRAQ,2026-04-08,9.86,9.9,9.86,9.888,0.028,+0.28%,3700
KRAQ,2026-04-10,9.895,9.895,9.88,9.88,-0.008,-0.08%,26600
KRAQ,2026-04-15,9.86,9.87,9.86,9.87,-0.01,-0.10%,7300
KRAQ,2026-04-16,9.9,9.9,9.88,9.89,0.02,+0.20%,29300
KRAQ,2026-04-17,9.9,9.91,9.9,9.91,0.02,+0.20%,30200
KRAQ,2026-04-20,9.92,9.92,9.92,9.92,0.01,+0.10%,22300
KRAQ,2026-04-21,9.92,9.92,9.92,9.92,0,0.00%,1000
KRAQ,2026-04-22,9.93,9.93,9.93,9.93,0.01,+0.10%,60000
KRAQ,2026-04-23,9.94,9.94,9.94,9.94,0.01,+0.10%,200
KRAQ,2026-04-24,9.91,9.925,9.91,9.92,-0.02,-0.20%,300
KRKR,2019-11-08,251.6,290,251.6,261.2,251.28,"+2,533.06%",23950
KRKR,2019-11-11,254.4,255.6,214,214.8,-46.4,-17.76%,11305
KRKR,2019-11-12,206.6,219.2,178.2,178.4,-36.4,-16.95%,9340
KRKR,2019-11-13,177.6,194.6,174.4,184.2,5.8,+3.25%,5875
KRKR,2019-11-14,180.8,189.8,180.8,184,-0.2,-0.11%,2985
KRKR,2019-11-15,183.4,200,180,199.6,15.6,+8.48%,4440
KRKR,2019-11-18,197,197.4,188.2,192,-7.6,-3.81%,1085
KRKR,2019-11-19,192,192.02,181,187,-5.,-2.60%,1035
KRKR,2019-11-20,184.4,184.4,180.4,180.6,-6.4,-3.42%,1160
KRKR,2019-11-21,180.8,181,174.2,174.6,-6.,-3.32%,1215
KRKR,2019-11-22,175.8,177.974,173.2,176,1.4,+0.80%,625
KRKR,2019-11-25,177.6,177.6,171,172.2,-3.8,-2.16%,1265
KRKR,2019-11-26,171.6,171.6,166.4,167,-5.2,-3.02%,1360
KRKR,2019-11-27,166.4,173,166.4,172.8,5.8,+3.47%,1390
KRKR,2019-11-29,178,178,169.4,169.4,-3.4,-1.97%,355
KRKR,2019-12-02,170,175.8,170,170,0.6,+0.35%,590
KRKR,2019-12-03,170.048,173.778,169.2,173.6,3.6,+2.12%,355
KRKR,2019-12-04,177.4,189.8,175.4,188.6,15,+8.64%,1680
KRKR,2019-12-05,188.2,188.2,180,182.2,-6.4,-3.39%,1410
KRKR,2019-12-06,183.6,183.6,174,176.8,-5.4,-2.96%,1555
KRKR,2019-12-09,179.2,183,175,180,3.2,+1.81%,1200
KRKR,2019-12-10,186,186,175.4,176,-4.,-2.22%,695
KRKR,2019-12-11,176.2,178.434,174,174.2,-1.8,-1.02%,465
KRKR,2019-12-12,174.2,179.262,174,175.9,1.7,+0.98%,490
KRKR,2019-12-13,176.054,177.3,174.2,174.4,-1.5,-0.85%,350
KRKR,2019-12-16,176.8,176.8,162,162,-12.4,-7.11%,1715
KRKR,2019-12-17,162,163,162,162,0,0.00%,310
KRKR,2019-12-18,167.4,167.4,161.2,161.4,-0.6,-0.37%,355
KRKR,2019-12-19,161.6,164.4,161.6,161.6,0.2,+0.12%,265
KRKR,2019-12-20,161.6,162.9,151.852,152.568,-9.032,-5.59%,805
KRKR,2019-12-23,152.4,156.8,152.4,154.004,1.436,+0.94%,1065
KRKR,2019-12-24,154.2,156.8,151.404,153.4,-0.604,-0.39%,235
KRKR,2019-12-26,152.2,152.408,150.4,150.4,-3.,-1.96%,390
KRKR,2019-12-27,155.4,155.4,150.8,152.4,2,+1.33%,770
KRKR,2019-12-30,151.4,151.828,146.124,147.4,-5.,-3.28%,725
KRKR,2019-12-31,149.4,149.4,146.6,147.8,0.4,+0.27%,470
KRKR,2020-01-02,154.2,154.2,148.2,150.6,2.8,+1.89%,755
KRKR,2020-01-03,150.4,150.784,148.6,148.6,-2.,-1.33%,115
KRKR,2020-01-06,148.4,151.2,146.6,149.864,1.264,+0.85%,540
KRKR,2020-01-07,148.8,170.2,148.6,170,20.136,+13.44%,4845
KRKR,2020-01-08,169.6,169.6,157.6,157.6,-12.4,-7.29%,1440
KRKR,2020-01-09,161.4,161.998,154.2,157.6,0,0.00%,1240
KRKR,2020-01-10,158.086,160,157.054,159.61,2.01,+1.28%,380
KRKR,2020-01-13,160,165,157,158.7,-0.91,-0.57%,660
