Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume
SLM,2015-01-02,10.21,10.34,10.16,10.32,0.13,+1.28%,2994200
SLM,2015-01-05,10.25,10.28,9.91,9.97,-0.35,-3.39%,3212800
SLM,2015-01-06,10,10.05,9.76,9.8,-0.17,-1.71%,2804100
SLM,2015-01-07,9.88,9.9,9.67,9.9,0.1,+1.02%,2138900
SLM,2015-01-08,9.97,10.1,9.94,10.01,0.11,+1.11%,2250300
SLM,2015-01-09,10.01,10.01,9.7,9.74,-0.27,-2.70%,2942500
SLM,2015-01-12,9.87,9.87,9.59,9.68,-0.06,-0.62%,2616100
SLM,2015-01-13,9.72,9.86,9.64,9.7,0.02,+0.21%,3271900
SLM,2015-01-14,9.64,9.77,9.6,9.7,0,0.00%,2650300
SLM,2015-01-15,9.69,9.76,9.65,9.66,-0.04,-0.41%,3067700
SLM,2015-01-16,9.65,9.74,9.65,9.71,0.05,+0.52%,2786200
SLM,2015-01-20,9.76,9.82,9.58,9.63,-0.08,-0.82%,3806400
SLM,2015-01-21,9.6,9.74,9.57,9.69,0.06,+0.62%,2685400
SLM,2015-01-22,8.72,9.14,8.5,9.05,-0.64,-6.60%,18331100
SLM,2015-01-23,8.87,9.41,8.84,9.2,0.15,+1.66%,13574100
SLM,2015-01-26,9.09,9.39,9.03,9.28,0.08,+0.87%,8553200
SLM,2015-01-27,9.18,9.27,9.07,9.15,-0.13,-1.40%,3825700
SLM,2015-01-28,9.15,9.27,9,9.19,0.04,+0.44%,5344200
SLM,2015-01-29,9.16,9.23,9.01,9.11,-0.08,-0.87%,5202600
SLM,2015-01-30,9.07,9.44,9.03,9.11,0,0.00%,7295600
SLM,2015-02-02,9.16,9.29,9.09,9.26,0.15,+1.65%,4459800
SLM,2015-02-03,9.26,9.46,9.26,9.33,0.07,+0.76%,4893400
SLM,2015-02-04,9.32,9.59,9.19,9.56,0.23,+2.47%,5384200
SLM,2015-02-05,9.62,9.77,9.48,9.54,-0.02,-0.21%,7004600
SLM,2015-02-06,9.58,9.63,9.43,9.45,-0.09,-0.94%,2685500
SLM,2015-02-09,9.39,9.51,9.33,9.51,0.06,+0.63%,3534100
SLM,2015-02-10,9.55,9.61,9.39,9.45,-0.06,-0.63%,2949800
SLM,2015-02-11,9.42,9.55,9.27,9.28,-0.17,-1.80%,4037700
SLM,2015-02-12,9.26,9.4,9.25,9.27,-0.01,-0.11%,3011700
SLM,2015-02-13,9.25,9.29,9.18,9.26,-0.01,-0.11%,2170300
SLM,2015-02-17,9.22,9.26,9.17,9.18,-0.08,-0.86%,1593600
SLM,2015-02-18,9.16,9.27,9.12,9.23,0.05,+0.54%,1894000
SLM,2015-02-19,9.22,9.26,9.18,9.21,-0.02,-0.22%,2591100
SLM,2015-02-20,9.24,9.43,9.16,9.36,0.15,+1.63%,3492800
SLM,2015-02-23,9.32,9.37,9.27,9.3,-0.06,-0.64%,1781100
SLM,2015-02-24,9.28,9.37,9.21,9.36,0.06,+0.65%,5136400
SLM,2015-02-25,9.36,9.51,9.35,9.47,0.11,+1.18%,4010500
SLM,2015-02-26,9.49,9.55,9.44,9.49,0.02,+0.21%,2612100
SLM,2015-02-27,9.5,9.54,9.43,9.47,-0.02,-0.21%,4247000
SLM,2015-03-02,9.43,9.49,9.43,9.46,-0.01,-0.11%,4496100
SLM,2015-03-03,9.45,9.6,9.44,9.55,0.09,+0.95%,2481300
SLM,2015-03-04,9.52,9.55,9.45,9.46,-0.09,-0.94%,3236900
SLM,2015-03-05,9.46,9.52,9.44,9.51,0.05,+0.53%,1769700
SLM,2015-03-06,9.49,9.62,9.45,9.48,-0.03,-0.32%,2331000
SLM,2015-03-09,9.43,9.56,9.37,9.38,-0.1,-1.05%,3162600
SLM,2015-03-10,9.3,9.33,9.18,9.19,-0.19,-2.03%,1722500
SLM,2015-03-11,9.17,9.18,9.04,9.18,-0.01,-0.11%,2491200
SLM,2015-03-12,9.17,9.32,9.09,9.11,-0.07,-0.76%,2862100
SLM,2015-03-13,9.11,9.12,9,9.1,-0.01,-0.11%,1887700
SLM,2015-03-16,9.17,9.23,9.07,9.14,0.04,+0.44%,2654000
SLM,2015-03-17,9.11,9.25,9.06,9.24,0.1,+1.09%,1593800
SLM,2015-03-18,9.24,9.32,9.13,9.29,0.05,+0.54%,1521700
SLM,2015-03-19,9.24,9.32,9.16,9.28,-0.01,-0.11%,1316800
SLM,2015-03-20,9.29,9.32,9.15,9.27,-0.01,-0.11%,4839300
SLM,2015-03-23,9.25,9.44,9.24,9.31,0.04,+0.43%,4031300
SLM,2015-03-24,9.31,9.38,9.28,9.28,-0.03,-0.32%,2552100
SLM,2015-03-25,9.27,9.29,8.93,9.05,-0.23,-2.48%,6386000
SLM,2015-03-26,9.31,9.31,8.94,8.99,-0.06,-0.66%,2488600
SLM,2015-03-27,8.97,9.1,8.86,8.97,-0.02,-0.22%,4568300
SLM,2015-03-30,9,9.05,8.98,9.03,0.06,+0.67%,4430100
SLM,2015-03-31,9,9.3,8.98,9.28,0.25,+2.77%,5170100
SLM,2015-04-01,9.26,9.51,9.26,9.38,0.1,+1.08%,4382000
SLM,2015-04-02,9.36,9.5,9.29,9.44,0.06,+0.64%,2435100
SLM,2015-04-06,9.38,9.62,9.33,9.55,0.11,+1.17%,6193200
SLM,2015-04-07,9.55,9.59,9.43,9.54,-0.01,-0.10%,4308100
SLM,2015-04-08,9.43,9.61,9.42,9.48,-0.06,-0.63%,2277200
SLM,2015-04-09,9.34,9.47,9.29,9.39,-0.09,-0.95%,1428400
SLM,2015-04-10,9.4,9.46,9.3,9.42,0.03,+0.32%,1264700
SLM,2015-04-13,9.39,9.52,9.38,9.48,0.06,+0.64%,1230700
SLM,2015-04-14,9.44,9.62,9.28,9.59,0.11,+1.16%,3033800
SLM,2015-04-15,9.63,9.77,9.62,9.67,0.08,+0.83%,4356600
SLM,2015-04-16,9.64,9.64,9.46,9.54,-0.13,-1.34%,4765700
SLM,2015-04-17,9.47,9.55,9.25,9.49,-0.05,-0.52%,4334400
SLM,2015-04-20,9.58,9.82,9.33,9.72,0.23,+2.42%,8179700
SLM,2015-04-21,9.76,9.85,9.71,9.83,0.11,+1.13%,2935400
SLM,2015-04-22,9.76,9.97,9.74,9.94,0.11,+1.12%,4754200
SLM,2015-04-23,10.43,10.49,10.04,10.23,0.29,+2.92%,9675800
SLM,2015-04-24,10.28,10.44,10.19,10.25,0.02,+0.20%,6047700
SLM,2015-04-27,10.25,10.33,10.18,10.22,-0.03,-0.29%,3327500
SLM,2015-04-28,10.2,10.35,10.08,10.33,0.11,+1.08%,3162100
SLM,2015-04-29,10.26,10.45,10.22,10.4,0.07,+0.68%,6064200
SLM,2015-04-30,10.33,10.39,10.15,10.19,-0.21,-2.02%,5212700
SLM,2015-05-01,10.23,10.31,10.12,10.3,0.11,+1.08%,5080900
SLM,2015-05-04,10.31,10.34,10.24,10.31,0.01,+0.10%,3482700
SLM,2015-05-05,10.27,10.38,10.25,10.31,0,0.00%,4513500
SLM,2015-05-06,10.31,10.38,10.21,10.36,0.05,+0.48%,3203600
SLM,2015-05-07,10.32,10.39,10.27,10.35,-0.01,-0.10%,2763700
SLM,2015-05-08,10.42,10.42,10.3,10.39,0.04,+0.39%,2939400
SLM,2015-05-11,10.34,10.47,10.32,10.47,0.08,+0.77%,3661400
SLM,2015-05-12,10.41,10.44,10.25,10.41,-0.06,-0.57%,2713000
SLM,2015-05-13,10.42,10.5,10.36,10.49,0.08,+0.77%,2207300
SLM,2015-05-14,10.5,10.72,10.5,10.7,0.21,+2.00%,2364200
SLM,2015-05-15,10.68,10.74,10.59,10.59,-0.11,-1.03%,1299500
SLM,2015-05-18,10.59,10.76,10.57,10.6,0.01,+0.09%,1729700
SLM,2015-05-19,10.52,10.64,10.5,10.6,0,0.00%,1896200
SLM,2015-05-20,10.59,10.64,10.4,10.61,0.01,+0.09%,1255700
SLM,2015-05-21,10.57,10.62,10.35,10.41,-0.2,-1.89%,3933700
SLM,2015-05-22,10.6,10.6,10.34,10.41,0,0.00%,4697400
SLM,2015-05-26,10.41,10.41,10.32,10.37,-0.04,-0.38%,2170900
SLM,2015-05-27,10.41,10.42,10.29,10.33,-0.04,-0.39%,4575900
SLM,2015-05-28,10.33,10.36,10.23,10.32,-0.01,-0.10%,2851000
SLM,2015-05-29,10.3,10.34,10.21,10.26,-0.06,-0.58%,1627700
SLM,2015-06-01,10.33,10.35,10.23,10.31,0.05,+0.49%,3279900
SLM,2015-06-02,10.29,10.39,10.26,10.33,0.02,+0.19%,3584300
SLM,2015-06-03,10.33,10.41,10.31,10.35,0.02,+0.19%,2860100
SLM,2015-06-04,10.33,10.34,10.16,10.17,-0.18,-1.74%,1717500
SLM,2015-06-05,10.16,10.22,10.13,10.19,0.02,+0.20%,1640900
SLM,2015-06-08,10.22,10.23,10.09,10.15,-0.04,-0.39%,1583100
SLM,2015-06-09,10.07,10.18,10.07,10.12,-0.03,-0.30%,3479600
SLM,2015-06-10,10.21,10.33,10.15,10.23,0.11,+1.09%,3157100
SLM,2015-06-11,10.21,10.28,10.14,10.24,0.01,+0.10%,2642800
SLM,2015-06-12,10.18,10.26,10.01,10.25,0.01,+0.10%,1629200
SLM,2015-06-15,10.2,10.26,10.11,10.23,-0.02,-0.20%,1497900
SLM,2015-06-16,10.01,10.32,10.01,10.26,0.03,+0.29%,1865400
SLM,2015-06-17,10.26,10.31,10.08,10.14,-0.12,-1.17%,1681400
SLM,2015-06-18,10.16,10.24,10.13,10.14,0,0.00%,1474000
SLM,2015-06-19,10.18,10.21,10.09,10.14,0,0.00%,2351300
SLM,2015-06-22,10.22,10.26,10.1,10.24,0.1,+0.99%,1073700
SLM,2015-06-23,10.27,10.31,10.14,10.27,0.03,+0.29%,1648100
SLM,2015-06-24,10.27,10.32,10.08,10.1,-0.17,-1.66%,1783000
SLM,2015-06-25,10.11,10.14,9.95,10,-0.1,-0.99%,2355600
SLM,2015-06-26,10.02,10.09,9.89,10.03,0.03,+0.30%,6581800
SLM,2015-06-29,9.95,9.98,9.8,9.84,-0.19,-1.89%,2200300
SLM,2015-06-30,9.88,9.94,9.68,9.87,0.03,+0.30%,5140200
SLM,2015-07-01,9.91,9.94,9.81,9.9,0.03,+0.30%,2136600
SLM,2015-07-02,9.89,9.99,9.87,9.97,0.07,+0.71%,2073500
SLM,2015-07-06,9.9,10.05,9.73,10.02,0.05,+0.50%,4408600
SLM,2015-07-07,10.02,10.07,9.79,9.93,-0.09,-0.90%,3030400
SLM,2015-07-08,9.88,9.92,9.69,9.73,-0.2,-2.01%,2190700
SLM,2015-07-09,9.77,9.91,9.67,9.72,-0.01,-0.10%,1993200
SLM,2015-07-10,9.76,9.9,9.72,9.89,0.17,+1.75%,1500200
SLM,2015-07-13,9.95,10.06,9.9,9.98,0.09,+0.91%,1501200
SLM,2015-07-14,9.94,10,9.7,9.76,-0.22,-2.20%,3163700
SLM,2015-07-15,9.76,9.94,9.6,9.74,-0.02,-0.20%,1501600
SLM,2015-07-16,9.75,10.04,9.6,9.97,0.23,+2.36%,6647400
SLM,2015-07-17,9.99,10,9.78,9.98,0.01,+0.10%,3713400
SLM,2015-07-20,9.79,10,9.02,9.78,-0.2,-2.00%,3190400
SLM,2015-07-21,9.74,9.87,9.67,9.85,0.07,+0.72%,3638800
SLM,2015-07-22,9.79,9.92,9.68,9.85,0,0.00%,4470100
SLM,2015-07-23,9.69,9.86,9.17,9.3,-0.55,-5.58%,11425300
SLM,2015-07-24,9.49,9.51,9.29,9.43,0.13,+1.40%,4501200
SLM,2015-07-27,9.38,9.43,9.12,9.17,-0.26,-2.76%,3323700
SLM,2015-07-28,9.22,9.22,9.09,9.17,0,0.00%,2342800
SLM,2015-07-29,9.14,9.41,9.07,9.13,-0.04,-0.44%,2945500
SLM,2015-07-30,9.1,9.25,9.1,9.22,0.09,+0.99%,1901800
SLM,2015-07-31,9.26,9.3,9.12,9.13,-0.09,-0.98%,2528800
SLM,2015-08-03,9.14,9.17,9.06,9.1,-0.03,-0.33%,2793400
SLM,2015-08-04,9.1,9.21,9.01,9.04,-0.06,-0.66%,2463700
SLM,2015-08-05,9.06,9.24,9.05,9.23,0.19,+2.10%,3131700
SLM,2015-08-06,9.21,9.31,9.06,9.07,-0.16,-1.73%,1848800
SLM,2015-08-07,9.03,9.09,8.83,9.03,-0.04,-0.44%,3430500
