Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume
A,2015-01-02,41.18,41.31,40.37,40.56,-0.38,-0.93%,1530700
A,2015-01-05,40.32,40.46,39.7,39.8,-0.76,-1.87%,2042200
A,2015-01-06,39.81,40.02,39.02,39.18,-0.62,-1.56%,2084500
A,2015-01-07,39.52,39.81,39.29,39.7,0.52,+1.33%,3359600
A,2015-01-08,40.24,40.98,40.18,40.89,1.19,+3.00%,2116300
A,2015-01-09,41,41,40.29,40.59,-0.3,-0.73%,1644900
A,2015-01-12,40.61,40.72,39.95,40.11,-0.48,-1.18%,2771100
A,2015-01-13,40.47,40.7,39.33,39.55,-0.56,-1.40%,2013400
A,2015-01-14,39.03,39.1,38.21,39.06,-0.49,-1.24%,5134000
A,2015-01-15,39.33,39.41,37.99,38.01,-1.05,-2.69%,2630200
A,2015-01-16,37.86,38.46,37.76,38.25,0.24,+0.63%,3003900
A,2015-01-20,38.43,38.66,37.76,37.93,-0.32,-0.84%,5033600
A,2015-01-21,37.75,38.41,37.68,38.16,0.23,+0.61%,2721600
A,2015-01-22,38.51,39.86,38.12,39.65,1.49,+3.90%,4856500
A,2015-01-23,39.6,39.6,38.76,38.81,-0.84,-2.12%,1519200
A,2015-01-26,38.79,39.17,38.47,39.15,0.34,+0.88%,1511200
A,2015-01-27,38.7,39.25,38.58,38.75,-0.4,-1.02%,1703500
A,2015-01-28,39.01,39.05,37.96,38,-0.75,-1.94%,2033500
A,2015-01-29,38,38.47,37.69,38.46,0.46,+1.21%,2329900
A,2015-01-30,38.01,38.32,37.71,37.77,-0.69,-1.79%,3054300
A,2015-02-02,37.9,38.76,37.71,38.69,0.92,+2.44%,2508400
A,2015-02-03,39.04,39.63,38.92,39.62,0.93,+2.40%,2950300
A,2015-02-04,39.33,39.46,38.82,39.11,-0.51,-1.29%,2567400
A,2015-02-05,39.22,39.82,39.22,39.53,0.42,+1.07%,1826300
A,2015-02-06,39.54,39.81,39.23,39.34,-0.19,-0.48%,2697200
A,2015-02-09,39.23,39.43,38.95,39.04,-0.3,-0.76%,3586100
A,2015-02-10,39.31,39.76,38.78,39.67,0.63,+1.61%,1408700
A,2015-02-11,39.64,39.81,39.23,39.33,-0.34,-0.86%,3337000
A,2015-02-12,39.58,40.06,39.53,40.02,0.69,+1.75%,1317700
A,2015-02-13,39.97,40.31,39.91,40.15,0.13,+0.32%,2211900
A,2015-02-17,40.01,40.53,39.76,40.52,0.37,+0.92%,2875700
A,2015-02-18,41.12,42.2,40.91,41.54,1.02,+2.52%,9007200
A,2015-02-19,41.4,41.57,41.04,41.15,-0.39,-0.94%,3737300
A,2015-02-20,41.09,42.11,40.88,41.95,0.8,+1.94%,2971800
A,2015-02-23,41.89,41.96,41.49,41.73,-0.22,-0.52%,1967900
A,2015-02-24,41.62,42.1,41.6,42.06,0.33,+0.79%,1922100
A,2015-02-25,42.34,42.49,42.09,42.2,0.14,+0.33%,2343400
A,2015-02-26,42.23,42.38,42,42.36,0.16,+0.38%,1505400
A,2015-02-27,42.3,42.36,42.05,42.21,-0.15,-0.35%,1676300
A,2015-03-02,42.34,42.74,42.34,42.7,0.49,+1.16%,1847000
A,2015-03-03,42.43,42.57,42.14,42.26,-0.44,-1.03%,1635400
A,2015-03-04,41.95,42.16,41.73,42,-0.26,-0.62%,1305900
A,2015-03-05,41.99,42.24,41.84,42.22,0.22,+0.52%,1376400
A,2015-03-06,41.95,42.05,41.49,41.53,-0.69,-1.63%,1528500
A,2015-03-09,41.54,41.89,41.44,41.74,0.21,+0.51%,1492300
A,2015-03-10,41.22,41.27,40.63,40.63,-1.11,-2.66%,1961200
A,2015-03-11,40.79,41.13,40.67,40.85,0.22,+0.54%,2064300
A,2015-03-12,40.99,41.24,40.97,41.1,0.25,+0.61%,2719800
A,2015-03-13,40.96,41.46,40.52,40.87,-0.23,-0.56%,4704500
A,2015-03-16,41.2,41.83,41.11,41.81,0.94,+2.30%,2551400
A,2015-03-17,41.52,41.69,41.06,41.58,-0.23,-0.55%,1504800
A,2015-03-18,41.45,42.38,41.17,42.12,0.54,+1.30%,1295500
A,2015-03-19,42.05,42.25,41.82,42.21,0.09,+0.21%,1085600
A,2015-03-20,42.39,42.53,42.2,42.21,0,0.00%,2315400
A,2015-03-23,42.12,42.44,42,42.2,-0.01,-0.02%,1835300
A,2015-03-24,42.13,42.13,41.01,41.09,-1.11,-2.63%,3625900
A,2015-03-25,41.17,41.7,40.79,40.81,-0.28,-0.68%,2776100
A,2015-03-26,40.68,40.97,40.37,40.7,-0.11,-0.27%,1573700
A,2015-03-27,40.6,41.18,40.58,41.11,0.41,+1.01%,1932700
A,2015-03-30,41.52,41.86,41.32,41.72,0.61,+1.48%,2064100
A,2015-03-31,41.28,41.78,41.1,41.55,-0.17,-0.41%,1659100
A,2015-04-01,41.46,41.52,40.72,41.39,-0.16,-0.39%,2170300
A,2015-04-02,41.47,42.13,41.33,42.05,0.66,+1.59%,2135900
A,2015-04-06,41.68,42.2,41.51,41.93,-0.12,-0.29%,2379800
A,2015-04-07,41.94,42.52,41.87,42.44,0.51,+1.22%,3072400
A,2015-04-08,42.43,42.59,42.02,42.26,-0.18,-0.42%,2443100
A,2015-04-09,42.16,42.59,42.07,42.49,0.23,+0.54%,1332500
A,2015-04-10,42.8,43.56,42.57,43.55,1.06,+2.49%,3370500
A,2015-04-13,43.49,43.59,42.99,43.04,-0.51,-1.17%,3708600
A,2015-04-14,42.96,43.2,42.58,43.07,0.03,+0.07%,1777700
A,2015-04-15,43.28,43.56,43.18,43.38,0.31,+0.72%,1445600
A,2015-04-16,43.14,43.36,43.06,43.13,-0.25,-0.58%,1070200
A,2015-04-17,42.74,43.05,42.6,42.98,-0.15,-0.35%,2333300
A,2015-04-20,43.33,43.44,43.15,43.19,0.21,+0.49%,1410500
A,2015-04-21,43.42,43.5,42.87,42.89,-0.3,-0.69%,1719700
A,2015-04-22,42.72,42.84,42.37,42.71,-0.18,-0.42%,2726100
A,2015-04-23,42.42,42.86,42.24,42.62,-0.09,-0.21%,3973100
A,2015-04-24,42.71,42.81,42.42,42.49,-0.13,-0.31%,2200100
A,2015-04-27,42.74,42.77,41.97,41.98,-0.51,-1.20%,2298200
A,2015-04-28,41.89,42.31,41.57,42.18,0.2,+0.48%,1803400
A,2015-04-29,42.04,42.2,41.44,41.96,-0.22,-0.52%,2160900
A,2015-04-30,41.83,41.94,41.11,41.37,-0.59,-1.41%,1726300
A,2015-05-01,41.41,41.93,41.24,41.83,0.46,+1.11%,1880100
A,2015-05-04,41.88,42.08,41.7,41.94,0.11,+0.26%,1073800
A,2015-05-05,41.72,41.85,41.46,41.59,-0.35,-0.83%,1254800
A,2015-05-06,41.86,41.86,41.36,41.59,0,0.00%,934600
A,2015-05-07,41.59,41.85,41.31,41.8,0.21,+0.50%,999600
A,2015-05-08,42.23,42.53,42.21,42.5,0.7,+1.67%,1034700
