Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume
AGIO,2015-01-02,113.65,114.78,106.23,109.76,-2.28,-2.03%,642600
AGIO,2015-01-05,107.06,112.4,106,108.87,-0.89,-0.81%,608200
AGIO,2015-01-06,110,112.99,108.35,111.43,2.56,+2.35%,791100
AGIO,2015-01-07,112.89,119.69,112.22,118.81,7.38,+6.62%,824700
AGIO,2015-01-08,121.05,122,116.58,121.97,3.16,+2.66%,841400
AGIO,2015-01-09,122.69,128.48,121.51,128.12,6.15,+5.04%,994700
AGIO,2015-01-12,130.94,132.95,126.06,131.55,3.43,+2.68%,1009600
AGIO,2015-01-13,135,137.36,127.51,129.93,-1.62,-1.23%,1359600
AGIO,2015-01-14,127.42,136.95,126,135.01,5.08,+3.91%,924700
AGIO,2015-01-15,138.03,138.85,126.45,127.71,-7.3,-5.41%,1266500
AGIO,2015-01-16,127.31,132.65,125.28,132.33,4.62,+3.62%,674100
AGIO,2015-01-20,133.6,133.8,127,131.52,-0.81,-0.61%,642300
AGIO,2015-01-21,129.88,130.9,120.43,121.71,-9.81,-7.46%,886500
AGIO,2015-01-22,121.8,123.78,114.02,122.48,0.77,+0.63%,1017700
AGIO,2015-01-23,121.9,125.42,120.21,123.65,1.17,+0.96%,444000
AGIO,2015-01-26,124.91,128.35,122.59,128.21,4.56,+3.69%,398600
AGIO,2015-01-27,125.66,129.33,123.52,126.14,-2.07,-1.61%,379400
AGIO,2015-01-28,122.6,124.79,118.56,118.8,-7.34,-5.82%,780700
AGIO,2015-01-29,118.95,120.85,115.81,120.73,1.93,+1.62%,523000
AGIO,2015-01-30,120.43,122.98,115.6,115.92,-4.81,-3.98%,473200
AGIO,2015-02-02,117.9,117.9,109.26,112.99,-2.93,-2.53%,897900
AGIO,2015-02-03,112.64,114.41,104.35,108.7,-4.29,-3.80%,1202300
AGIO,2015-02-04,105.67,108.81,101.25,107.31,-1.39,-1.28%,793400
AGIO,2015-02-05,108.6,113.88,106.86,113.1,5.79,+5.40%,564700
AGIO,2015-02-06,112.53,113.45,106.27,107.55,-5.55,-4.91%,469200
AGIO,2015-02-09,105.84,108,103.54,105.96,-1.59,-1.48%,306900
AGIO,2015-02-10,107.34,119.7,106.3,117.01,11.05,+10.43%,970700
AGIO,2015-02-11,117.05,120.74,114,116.2,-0.81,-0.69%,483600
AGIO,2015-02-12,117.41,118.5,113.5,118.44,2.24,+1.93%,391700
AGIO,2015-02-13,118.5,121.47,115,118.55,0.11,+0.09%,543400
AGIO,2015-02-17,111.97,114.95,106.56,108.41,-10.14,-8.55%,1506800
AGIO,2015-02-18,108.44,111,105.96,109.87,1.46,+1.35%,830000
AGIO,2015-02-19,106.58,108.58,105.03,105.54,-4.33,-3.94%,935500
AGIO,2015-02-20,105.81,107.99,104.72,106.3,0.76,+0.72%,800700
AGIO,2015-02-23,106.8,108.19,104.83,105.38,-0.92,-0.87%,515900
AGIO,2015-02-24,105.56,106.77,104.17,106.66,1.28,+1.21%,550700
AGIO,2015-02-25,106.31,107.75,104.63,107.24,0.58,+0.54%,636700
AGIO,2015-02-26,107.1,108.24,106.07,107.76,0.52,+0.48%,635100
AGIO,2015-02-27,107.35,108.4,105.71,107.28,-0.48,-0.45%,439500
AGIO,2015-03-02,107.15,108.1,105.85,107.89,0.61,+0.57%,507200
AGIO,2015-03-03,108.24,108.24,104.51,105.66,-2.23,-2.07%,361700
AGIO,2015-03-04,104.72,109.39,103.85,107.12,1.46,+1.38%,530200
AGIO,2015-03-05,108.41,110.78,106.32,107.44,0.32,+0.30%,555000
AGIO,2015-03-06,108.01,108.5,103.6,104.49,-2.95,-2.75%,652300
AGIO,2015-03-09,104.52,105.24,101.62,103.97,-0.52,-0.50%,616900
AGIO,2015-03-10,102.4,107.97,101.65,105.4,1.43,+1.38%,559800
AGIO,2015-03-11,105.84,108.16,104.6,106.95,1.55,+1.47%,450000
AGIO,2015-03-12,107.6,107.98,106.02,107.56,0.61,+0.57%,280200
AGIO,2015-03-13,107.08,108.87,105.52,107.16,-0.4,-0.37%,301600
AGIO,2015-03-16,107.73,107.75,105.28,106.45,-0.71,-0.66%,392900
AGIO,2015-03-17,105.9,108.35,105,107.57,1.12,+1.05%,479100
AGIO,2015-03-18,107.58,108.23,105.16,105.99,-1.58,-1.47%,407900
AGIO,2015-03-19,107.04,112.73,105.97,110.96,4.97,+4.69%,1062300
AGIO,2015-03-20,111.72,113.67,107.34,107.97,-2.99,-2.69%,1058800
AGIO,2015-03-23,105.5,105.66,101.35,102.35,-5.62,-5.21%,661400
AGIO,2015-03-24,102.65,104,100.08,101.48,-0.87,-0.85%,565100
AGIO,2015-03-25,101.25,101.75,92.06,92.86,-8.62,-8.49%,1138300
AGIO,2015-03-26,91.16,93.65,88.03,91.67,-1.19,-1.28%,828400
AGIO,2015-03-27,91.84,98.15,91.79,96.6,4.93,+5.38%,567500
AGIO,2015-03-30,97.76,101,96.08,98.8,2.2,+2.28%,583600
AGIO,2015-03-31,98.66,98.66,94.04,94.3,-4.5,-4.55%,420400
AGIO,2015-04-01,94.5,95.86,90.58,95.76,1.46,+1.55%,586900
AGIO,2015-04-02,96.33,96.81,93.56,94.35,-1.41,-1.47%,334500
AGIO,2015-04-06,92.6,94.85,92.52,94.33,-0.02,-0.02%,382400
AGIO,2015-04-07,94.56,97.9,93.91,94.8,0.47,+0.50%,395000
AGIO,2015-04-08,95.45,99.29,95,99.23,4.43,+4.67%,507500
AGIO,2015-04-09,98.61,99.6,95,96.38,-2.85,-2.87%,380300
AGIO,2015-04-10,96.77,99.45,96.74,98.57,2.19,+2.27%,292500
AGIO,2015-04-13,98.27,101.25,97.84,99.58,1.01,+1.02%,385200
AGIO,2015-04-14,99.61,100.65,97.23,99.09,-0.49,-0.49%,327800
AGIO,2015-04-15,99.25,100.15,98.02,98.48,-0.61,-0.62%,344500
AGIO,2015-04-16,102.85,109,102.85,106.69,8.21,+8.34%,1588500
AGIO,2015-04-17,105.9,107.99,104.93,107.73,1.04,+0.97%,3202400
AGIO,2015-04-20,108.18,108.49,103.35,107,-0.73,-0.68%,704100
AGIO,2015-04-21,107.08,110,105.53,107.63,0.63,+0.59%,1103100
AGIO,2015-04-22,107.63,108.25,103,103.51,-4.12,-3.83%,626000
AGIO,2015-04-23,102.99,104.98,101.76,103.76,0.25,+0.24%,484100
AGIO,2015-04-24,103.39,107.24,103.39,107.04,3.28,+3.16%,523800
AGIO,2015-04-27,107.78,107.96,99.7,101.81,-5.23,-4.89%,880800
AGIO,2015-04-28,101.54,103.37,96.76,98.75,-3.06,-3.01%,759600
AGIO,2015-04-29,99.12,103.14,97.42,99.32,0.57,+0.58%,461200
AGIO,2015-04-30,94.89,95.4,90.86,92.34,-6.98,-7.03%,1219600
AGIO,2015-05-01,93.7,95.96,92.5,95.74,3.4,+3.68%,464300
AGIO,2015-05-04,95.79,99,95,96.13,0.39,+0.41%,524200
AGIO,2015-05-05,95.83,96.57,93,94.63,-1.5,-1.56%,569000
AGIO,2015-05-06,95.31,96.65,93.73,96.14,1.51,+1.60%,516000
AGIO,2015-05-07,94.13,99.74,92.58,99.13,2.99,+3.11%,730700
AGIO,2015-05-08,101,109.2,99.99,108.96,9.83,+9.92%,1018300
AGIO,2015-05-11,109.73,110.24,106.71,108.5,-0.46,-0.42%,747100
AGIO,2015-05-12,108.24,111.65,105.43,111.43,2.93,+2.70%,608400
AGIO,2015-05-13,111.99,114.37,111.5,113.28,1.85,+1.66%,485500
AGIO,2015-05-14,113.41,114,110,113.47,0.19,+0.17%,453000
AGIO,2015-05-15,113.48,113.84,110.74,112.78,-0.69,-0.61%,371700
AGIO,2015-05-18,112.92,118.74,111.88,115.94,3.16,+2.80%,870200
AGIO,2015-05-19,115.98,118.98,114.4,117.06,1.12,+0.97%,390800
AGIO,2015-05-20,117.17,117.88,115.56,116.88,-0.18,-0.15%,407200
AGIO,2015-05-21,116.15,117.45,114.04,115.06,-1.82,-1.56%,336700
AGIO,2015-05-22,116.13,118.52,115.06,118.07,3.01,+2.62%,349500
AGIO,2015-05-26,118.07,119.98,115.61,119.05,0.98,+0.83%,626500
AGIO,2015-05-27,119.03,123.43,118.02,123.23,4.18,+3.51%,759900
AGIO,2015-05-28,122.89,124.6,120.47,124.2,0.97,+0.79%,478100
AGIO,2015-05-29,123.82,123.82,120.29,122.02,-2.18,-1.76%,594500
AGIO,2015-06-01,123.02,123.86,118,122.22,0.2,+0.16%,522000
AGIO,2015-06-02,122.04,126.35,120.02,123.7,1.48,+1.21%,404600
AGIO,2015-06-03,123.99,125.58,121.73,122.44,-1.26,-1.02%,358900
AGIO,2015-06-04,122.39,124.05,118.76,120.78,-1.66,-1.36%,396100
AGIO,2015-06-05,120.88,123.33,118.14,122.63,1.85,+1.53%,298300
AGIO,2015-06-08,122.26,124.9,120.07,121.73,-0.9,-0.73%,313500
AGIO,2015-06-09,121.54,121.73,117.02,119.41,-2.32,-1.91%,379000
AGIO,2015-06-10,118.96,122.24,117.53,121.6,2.19,+1.83%,364400
AGIO,2015-06-11,123.01,124.12,120.02,122.59,0.99,+0.81%,421400
AGIO,2015-06-12,115.16,117.13,103,110.13,-12.46,-10.16%,2853700
AGIO,2015-06-15,108.94,108.94,97,104.25,-5.88,-5.34%,1947700
AGIO,2015-06-16,103.32,105.27,102.34,103.2,-1.05,-1.01%,643400
AGIO,2015-06-17,103,104.86,101.83,102.77,-0.43,-0.42%,630700
AGIO,2015-06-18,103.01,103.88,99.26,99.64,-3.13,-3.05%,872500
AGIO,2015-06-19,99.99,101.78,98.38,99.58,-0.06,-0.06%,588000
AGIO,2015-06-22,100.65,107.71,98.63,106.64,7.06,+7.09%,985600
AGIO,2015-06-23,106.42,107.11,102.56,103.63,-3.01,-2.82%,623200
AGIO,2015-06-24,103.09,106.75,102.65,103.96,0.33,+0.32%,631200
AGIO,2015-06-25,104.93,107.62,104.01,105.58,1.62,+1.56%,568200
AGIO,2015-06-26,105.98,107.04,103.39,105.59,0.01,+0.01%,2136700
AGIO,2015-06-29,103.5,107.63,102.73,104.39,-1.2,-1.14%,680200
AGIO,2015-06-30,105.9,112.45,104.71,111.14,6.75,+6.47%,798300
AGIO,2015-07-01,112.27,113.15,106.74,107.75,-3.39,-3.05%,494700
AGIO,2015-07-02,108.18,111.51,106.89,110.44,2.69,+2.50%,455100
AGIO,2015-07-06,109.65,112.95,108.27,112.32,1.88,+1.70%,1154100
AGIO,2015-07-07,113,113.89,110.26,112.43,0.11,+0.10%,536000
AGIO,2015-07-08,110.98,112.26,105.63,106.46,-5.97,-5.31%,442600
AGIO,2015-07-09,108.22,110.13,105.26,107.49,1.03,+0.97%,536800
AGIO,2015-07-10,109.42,110.79,106.75,109.82,2.33,+2.17%,369200
AGIO,2015-07-13,110.62,112.6,109.06,110.68,0.86,+0.78%,403900
AGIO,2015-07-14,111.03,113.25,110.47,112.13,1.45,+1.31%,468300
AGIO,2015-07-15,112.63,115.99,111.18,115.12,2.99,+2.67%,575700
AGIO,2015-07-16,115.97,115.97,113,115.29,0.17,+0.15%,476200
AGIO,2015-07-17,115.15,115.16,113.16,114.71,-0.58,-0.50%,431300
AGIO,2015-07-20,115,115.26,113.16,115.11,0.4,+0.35%,333600
AGIO,2015-07-21,115.25,117.44,112.26,114.09,-1.02,-0.89%,392300
AGIO,2015-07-22,114.03,117.98,112.32,117.38,3.29,+2.88%,344300
AGIO,2015-07-23,117.04,120.96,116.51,118.42,1.04,+0.89%,250400
AGIO,2015-07-24,119.49,119.92,112.63,113.24,-5.18,-4.37%,410200
AGIO,2015-07-27,112.19,112.44,106.81,108.7,-4.54,-4.01%,578800
AGIO,2015-07-28,109.51,112.89,109.35,111.88,3.18,+2.93%,305800
AGIO,2015-07-29,111.83,113.07,107.71,110.3,-1.58,-1.41%,350800
AGIO,2015-07-30,110.44,110.78,106.09,108.91,-1.39,-1.26%,330600
AGIO,2015-07-31,109.57,112.56,108.06,110.18,1.27,+1.17%,249400
AGIO,2015-08-03,110.66,111.49,108.65,110.91,0.73,+0.66%,226800
AGIO,2015-08-04,111.05,112.25,109.99,111.12,0.21,+0.19%,231900
AGIO,2015-08-05,112,115.39,111.39,111.85,0.73,+0.66%,437400
AGIO,2015-08-06,106,109.08,97.03,100.05,-11.8,-10.55%,1076600
AGIO,2015-08-07,99.06,99.67,95.01,98,-2.05,-2.05%,818400
AGIO,2015-08-10,98.78,101.93,98.1,99.67,1.67,+1.70%,432500
AGIO,2015-08-11,98.89,100.43,91.67,93.43,-6.24,-6.26%,680200
AGIO,2015-08-12,92.27,96.71,89.84,96.15,2.72,+2.91%,513700
AGIO,2015-08-13,96.2,96.89,92.44,92.89,-3.26,-3.39%,554200
AGIO,2015-08-14,92.8,93.68,87.55,90.66,-2.23,-2.40%,572000
AGIO,2015-08-17,90.27,96.47,89.94,96.14,5.48,+6.04%,447700
AGIO,2015-08-18,95.6,97.15,94.5,95.37,-0.77,-0.80%,396300
AGIO,2015-08-19,94.76,95.84,93.02,93.52,-1.85,-1.94%,471200
AGIO,2015-08-20,92.32,93.1,84,84.01,-9.51,-10.17%,694500
AGIO,2015-08-21,82.22,89.93,80.49,85.65,1.64,+1.95%,863800
AGIO,2015-08-24,79.1,86.45,75.98,81.37,-4.28,-5.00%,1025700
AGIO,2015-08-25,85.25,86.77,81.52,81.7,0.33,+0.41%,565500
AGIO,2015-08-26,83.78,88,82.12,87.45,5.75,+7.04%,759700
AGIO,2015-08-27,88.12,92.45,87.39,90.02,2.57,+2.94%,596000
AGIO,2015-08-28,89.47,91.75,88.79,90.69,0.67,+0.74%,319400
AGIO,2015-08-31,90,92.48,86.25,86.4,-4.29,-4.73%,289700
AGIO,2015-09-01,83.97,86.45,83.01,84.43,-1.97,-2.28%,339400
AGIO,2015-09-02,86.17,87.45,84.04,87.24,2.81,+3.33%,314900
