Symbol,Time,Open,High,Low,Latest,Change,%Change,Volume
AAPL,2010-03-11,7.9968,8.0536,7.9757,8.0536,0.0236,+0.29%,405697536
AAPL,2010-03-12,8.1204,8.1332,8.0625,8.0929,0.0393,+0.49%,416320736
AAPL,2010-03-15,8.0493,8.0536,7.8661,7.9943,-0.0986,-1.22%,493499936
AAPL,2010-03-16,8.0064,8.035,7.9468,8.0161,0.0218,+0.27%,446905120
AAPL,2010-03-17,8.0321,8.0875,7.9739,8.0043,-0.0118,-0.15%,450953888
AAPL,2010-03-18,8.0036,8.0357,7.9504,8.0232,0.0189,+0.24%,342106752
AAPL,2010-03-19,8.0282,8.0443,7.9011,7.9375,-0.0857,-1.07%,559442688
AAPL,2010-03-22,7.8739,8.0714,7.8625,8.0268,0.0893,+1.13%,456416704
AAPL,2010-03-23,8.0586,8.1707,8.0036,8.1557,0.1289,+1.61%,602428288
AAPL,2010-03-24,8.13,8.2214,8.1254,8.1918,0.0361,+0.44%,598278720
AAPL,2010-03-25,8.2471,8.2489,8.0804,8.0946,-0.0972,-1.19%,543264320
AAPL,2010-03-26,8.1768,8.2839,8.1625,8.2464,0.1518,+1.88%,640872320
AAPL,2010-03-29,8.3214,8.3525,8.2721,8.2996,0.0532,+0.65%,540741504
AAPL,2010-03-30,8.45,8.4814,8.3661,8.4232,0.1236,+1.49%,527307104
AAPL,2010-03-31,8.4104,8.4504,8.3736,8.3929,-0.0303,-0.36%,430656736
AAPL,2010-04-01,8.4818,8.5261,8.3125,8.4275,0.0346,+0.41%,603142336
AAPL,2010-04-05,8.3921,8.5182,8.3846,8.5175,0.09,+1.07%,684504704
AAPL,2010-04-06,8.5071,8.58,8.4643,8.555,0.0375,+0.44%,447014336
AAPL,2010-04-07,8.5614,8.64,8.5236,8.5929,0.0379,+0.44%,628499136
AAPL,2010-04-08,8.5871,8.6264,8.5014,8.5696,-0.0233,-0.27%,572986304
AAPL,2010-04-09,8.6225,8.6389,8.5879,8.6354,0.0658,+0.77%,334179936
AAPL,2010-04-12,8.65,8.6811,8.6361,8.6532,0.0178,+0.21%,333213952
AAPL,2010-04-13,8.6379,8.6714,8.6111,8.6582,0.005,+0.06%,306207968
AAPL,2010-04-14,8.76,8.7789,8.7168,8.7746,0.1164,+1.34%,404073536
AAPL,2010-04-15,8.7779,8.8939,8.7682,8.89,0.1154,+1.32%,376781952
AAPL,2010-04-16,8.8775,8.9693,8.7339,8.8357,-0.0543,-0.61%,750542720
AAPL,2010-04-19,8.8225,8.8532,8.6346,8.8239,-0.0118,-0.13%,566921536
AAPL,2010-04-20,8.8764,8.9018,8.6771,8.7354,-0.0885,-1.00%,738323520
AAPL,2010-04-21,9.2432,9.2946,9.1332,9.2579,0.5225,+5.98%,982391040
AAPL,2010-04-22,9.2229,9.5268,9.15,9.5168,0.2589,+2.80%,793421888
AAPL,2010-04-23,9.5711,9.7207,9.5357,9.6725,0.1557,+1.64%,796952704
AAPL,2010-04-26,9.71,9.7307,9.5782,9.625,-0.0475,-0.49%,479065920
AAPL,2010-04-27,9.5454,9.5657,9.3043,9.3586,-0.2664,-2.77%,709340672
AAPL,2010-04-28,9.4018,9.4286,9.1575,9.3429,-0.0157,-0.17%,758399488
AAPL,2010-04-29,9.3936,9.6429,9.3575,9.5943,0.2514,+2.69%,558837888
AAPL,2010-04-30,9.6182,9.6632,9.3214,9.3246,-0.2697,-2.81%,542460736
AAPL,2010-05-03,9.4229,9.5671,9.3886,9.5125,0.1879,+2.02%,454339136
AAPL,2010-05-04,9.3889,9.4032,9.1696,9.2386,-0.2739,-2.88%,723816704
AAPL,2010-05-05,9.0368,9.2193,8.8832,9.1425,-0.0961,-1.04%,883100352
AAPL,2010-05-06,9.0654,9.2232,7.1161,8.7946,-0.3479,-3.81%,1285857792
AAPL,2010-05-07,8.7039,8.8061,8.0432,8.4236,-0.371,-4.22%,1676015360
AAPL,2010-05-10,8.9375,9.0946,8.8761,9.0711,0.6475,+7.69%,984303424
AAPL,2010-05-11,8.9943,9.2818,8.9464,9.1614,0.0903,+1.00%,850348672
AAPL,2010-05-12,9.2589,9.3975,9.2393,9.3604,0.199,+2.17%,654376704
AAPL,2010-05-13,9.4007,9.4643,9.1571,9.2271,-0.1333,-1.42%,599709504
AAPL,2010-05-14,9.1132,9.16,8.9107,9.065,-0.1621,-1.76%,759359872
AAPL,2010-05-17,9.0964,9.1493,8.8468,9.0793,0.0143,+0.16%,762831872
AAPL,2010-05-18,9.1779,9.2339,8.9379,9.0129,-0.0664,-0.73%,782675456
AAPL,2010-05-19,8.9107,9.0329,8.7446,8.8693,-0.1436,-1.59%,1025723840
AAPL,2010-05-20,8.6386,8.7089,8.4361,8.4914,-0.3779,-4.26%,1282912256
AAPL,2010-05-21,8.315,8.7321,8.2625,8.6543,0.1629,+1.92%,1223905024
AAPL,2010-05-24,8.8314,8.9607,8.795,8.8129,0.1586,+1.83%,754244288
AAPL,2010-05-25,8.5482,8.8129,8.47,8.7579,-0.055,-0.62%,1048011840
AAPL,2010-05-26,8.9314,9.0046,8.7054,8.7182,-0.0397,-0.45%,850653888
AAPL,2010-05-27,8.95,9.0675,8.8968,9.0482,0.33,+3.79%,666299072
AAPL,2010-05-28,9.2639,9.2643,9.0482,9.1743,0.1261,+1.39%,815611904
AAPL,2010-06-01,9.2746,9.4979,9.2486,9.3154,0.1411,+1.54%,876472640
AAPL,2010-06-02,9.4479,9.4571,9.2975,9.4268,0.1114,+1.20%,688545088
